judul_proposal,deskripsi
Aplikasi Metoda Pencuplikan Kompresif Dalam  Bidang Telekomunikasi,Teknik Telekomunikasi
A Mobile Subsurface Imaging System On A Smartphone,Teknik Telekomunikasi
Perancangan Metoda Manajemen Interferensi Sistem Multi Sel LTE-Advanced Menggunakan Teknik Partisi Daya,Teknik Telekomunikasi
Pengembangan Sistem Parkir Berbasis Mesin Vision,Informatika
Pengembangan Teknik Akses Jaringan Nirkabel Secara Hemat Spektrum,Teknik Telekomunikasi
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam Bahasa Indonesia Menggunakan Metode Berbasis Hybrid,Informatika
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,Teknologi Informasi
Proposal P3MI Teknik Komputer,Teknik Komputer
Proposal P3MI Sistem Kendali dan Komputer,Sistem Kendali dan Komputer
PROPOSAL P3MI KK INFORMATIKA STEI ITB,Informatika
P3MI KK Elektronika STEI ITB,Elektronika
Pengembangan Sistem Terintegrasi & Devais Internet of Things untuk Kesehatan,Teknik Biomedika
Proposal P3MI KK Teknologi Informasi,Teknologi Informasi
Sistem Energi Listrik yang Berkelanjutan (Sustainable Electrical Energy System).,Teknik Ketenagalistrikan
Proposal P3MI KK Rekayasa Perangkat Lunak dan Pengetahuan,Rekayasa Perangkat Lunak dan Data
"Program Penelitian, Pengabdian kepada masyarakat, dan Inovasi (P3MI) Kelompok Keahlian Teknik Telekomunikasi ITB 2017",Teknik Telekomunikasi
Pengembangan Konstelasi Satelit CubeSat Saling Terhubung,Teknik Komputer
STUDY OF DIELECTRIC PROPERTIES OF LIQUID INSULATION FOR HIGH  TEMPERATURE APPLICATIONS,Teknik Ketenagalistrikan
Antena Cetak Susun Polarisasi Linier untuk Komunikasi Wahana Terbang dengan Ground Station,Teknik Telekomunikasi
Pengembangan Teknologi High Altitude Platform Station (HAPS) Alternatif Pengganti Teknologi Google Loon Sebagai Infrastruktur Telekomunikasi Wireless di Indonesia,Teknik Telekomunikasi
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,Informatika
SISTEM PENCITRAAN GELOMBANG MIKRO UNTUK     DETEKSI DINI KANKER PAYUDARA: PROOF-OF-    CONCEPT & PHANTOM VALIDATION,Teknik Biomedika
Pengembangan Sistem Transfer Energi Nirkabel untuk Pengisian Baterei Perangkat Elektronik Berdaya Rendah,Teknik Telekomunikasi
Pengembangan Jaringan Akses Nirkabel Generasi-5 (5G) untuk Mendukung Infrastruktur Internet of Things (IoT),Teknik Telekomunikasi
BotBerita: Pembangkit Artikel Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),Informatika
